X,Y,Country,Admin1,Facility_n,Facility_t,Ownership,Lat,Long,LL_source,ObjectId
3412721.62924939,-252237.766137882,Rwanda,East,Mahama Health Centre,Health Centre,Public,-2.2653,30.657,Geonames,74
3347399.3520519,-250288.163205367,Rwanda,East,Mareba Health Centre,Health Centre,Public,-2.2478,30.0702,GPS,75
3387017.95882522,-125376.084056776,Rwanda,East,Matimba Health Centre,Health Centre,Public,-1.1262,30.4261,GPS,76
3355681.52216691,-245709.473045892,Rwanda,East,Mayange (Bugesera) Health Centre,Health Centre,Public,-2.2067,30.1446,GPS,77
3363919.16448561,-172399.220294858,Rwanda,East,Mayange (Gatsibo) Health Post,Health Post,Public,-1.5485,30.2185999999999,Geonames,78
3388175.68152946,-194070.943734024,Rwanda,East,Mbogo Health Post,Health Post,Public,-1.7431,30.4364999999999,Geonames,79
3367648.36742718,-161185.512941941,Rwanda,East,Mimuri Health Centre,Health Centre,Public,-1.4478,30.2520999999999,GPS,80
3357907.91198278,-160539.654535646,Rwanda,East,Muhambo Health Centre,Health Centre,Public,-1.442,30.1646,GPS,81
3372090.01510984,-195808.338966468,Rwanda,East,Muhura Health Centre,Health Centre,Public,-1.7587,30.292,GPS,82
3400298.37407686,-233611.639064646,Rwanda,East,Muhurire Health Post,Health Post,Public,-2.0981,30.5454,Geonames,83
3395912.3861396,-212392.303168369,Rwanda,East,Mukarange Health Centre,Health Centre,Public,-1.9076,30.506,GPS,84
3416640.07532531,-234157.471346081,Rwanda,East,Mulindi (kirehe) Health Centre,Health Centre,Public,-2.103,30.6922,GPS,85
3391470.73845695,-225747.386280071,Rwanda,East,Munyaga Health Centre,Health Centre,Public,-2.0275,30.4661,GPS,86
3390313.0157527,-208816.999265412,Rwanda,East,Murambi (rwamagana) Health Centre,Health Centre,Public,-1.8755,30.4557,GPS,87
3370776.44511848,-223564.170651943,Rwanda,East,Murehe Health Post,Health Post,Public,-2.0079,30.2802,Geonames,88
3409549.02376177,-259557.344292014,Rwanda,East,Musaza Health Centre,Health Centre,Public,-2.331,30.6284999999999,GPS,89
3417307.99227007,-162343.608019688,Rwanda,East,Musenyi (Nyagatare) Fosacom Community-owned health facility,Health Post,CBO,-1.4582,30.6982,Geonames,90
3376553.92669065,-214998.641450397,Rwanda,East,Musha (rwamagana) Health Centre,Health Centre,Public,-1.931,30.3321,GPS,91
3414614.06059286,-243927.048943858,Rwanda,East,Mushikiri Health Centre,Health Centre,Public,-2.1907,30.6739999999999,GPS,92
3394008.82284704,-253106.739594831,Rwanda,East,Mutenderi Health Centre,Health Centre,Public,-2.2731,30.4889,GPS,93
3368227.22877932,-219810.437503065,Rwanda,East,Muyumbu Health Centre,Health Centre,Public,-1.9742,30.2573,GPS,94
3357028.48800551,-232040.988352959,Rwanda,East,Mwogo Health Centre,Health Centre,Public,-2.084,30.1567,GPS,95
3434395.53410684,-237209.708053225,Rwanda,East,Nasho Health Centre,Health Centre,Public,-2.1304,30.8517,GPS,96
3391860.35667473,-157288.116389359,Rwanda,East,Ndama (Nyagatare) Health Centre,Health Centre,Public,-1.4128,30.4696,GPS,97
3417764.40218232,-224254.776833759,Rwanda,East,Ndego Health Centre,Health Centre,Public,-2.0141,30.7023,GPS,98
3366624.22811188,-172120.820062505,Rwanda,East,Ngarama District Hospital,District Hospital,Public,-1.546,30.2428999999999,GPS,99
3368505.52750629,-172120.820062505,Rwanda,East,Ngarama Health Centre,Health Centre,Public,-1.546,30.2597999999999,GPS,100
3351006.10355359,-259891.579688375,Rwanda,East,Ngeruka Health Centre,Health Centre,Public,-2.334,30.1025999999999,GPS,101
3346865.01849609,-234781.281766893,Rwanda,East,Ntarama Health Centre,Health Centre,Public,-2.1086,30.0654,GPS,102
3416473.09608912,-238758.126222665,Rwanda,East,Ntaruka (nasho Kirehe) Health Centre,Health Centre,Public,-2.1443,30.6907,GPS,103
3382988.1932585,-126556.300795253,Rwanda,East,Ntoma Health Centre,Health Centre,Public,-1.1368,30.3899,GPS,104
3382631.97088797,-203593.386253753,Rwanda,East,Nyabisindu Health Post,Health Post,Public,-1.8286,30.3867,Geonames,105
3428094.85092794,-246455.868827997,Rwanda,East,Nyabitare (kirehe) Health Centre,Health Centre,Public,-2.2134,30.7951,GPS,106
3364130.67151812,-179203.425349806,Rwanda,East,Nyagahanga Health Centre,Health Centre,Public,-1.6096,30.2205,GPS,107
3362160.31653108,-165439.311621081,Rwanda,East,Nyagahita Health Centre,Health Centre,Public,-1.486,30.2028,GPS,108
3371555.68155402,-209529.827171472,Rwanda,East,Nyagasambu Health Centre,Health Centre,Public,-1.8819,30.2871999999999,GPS,109
3391303.75922076,-240941.531159328,Rwanda,East,Nyagasozi Health Post,Health Post,Public,-2.1639,30.4646,Geonames,110
3375897.14169497,-144516.194881593,Rwanda,East,Nyagatare District Hospital,District Hospital,Public,-1.2981,30.3262,GPS,111
